Time,Ar_press,Ar_mass_flow,He_mass_flow,He_press,He_vol_flow,Ar_vol_flow,Ar_STP_press,He_STP_press
2021-08-26T18:57:47.979,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T18:58:18.207,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T18:58:48.413,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T18:59:18.631,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T18:59:48.850,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:00:19.087,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:00:49.293,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:01:19.482,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:01:49.687,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:02:19.881,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:02:50.105,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:03:20.338,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:03:50.576,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:04:20.764,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:04:50.977,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:05:21.170,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:05:51.368,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:06:21.579,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:06:51.780,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:07:21.981,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:07:52.168,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
